Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,84.55,-60.65,180.0,top
C2,10uF,C_0603_1608Metric,84.05,-64.075,90.0,top
D3,ABS2,Diode_Bridge_Diotec_ABS,79.25,-65.35,180.0,top
J1,12,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,84.25,-66.85,0.0,top
J2,G,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,76.75,-60.7,0.0,top
J3,3,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,89.85,-59.6,0.0,top
J4,G,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,81.75,-60.7,0.0,top
J7,3,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,87.3,-59.6,0.0,top
J8,G,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,79.25,-60.7,0.0,top
T1,T1,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,74.25,-66.85,0.0,top
T2,T2,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,74.25,-63.85,0.0,top
U2,AMS1117-3.3,SOT-89-3,89.35,-64.5,0.0,top
