Comment,Designator,Footprint,LCSC,Quantity
10K,R2,R_0402_1005Metric,C25744,1
10u,C18,C_0603_1608Metric,C96446,1
1u,C4,C_0603_1608Metric,C15849,1
BOOT,SW2,SW_SPST_B3U-1000P,C231329,1
Conn_01x02,J2,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,C157930,1
Conn_01x02,"J1,J3,J4,J5",JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,C160402,4
ESD3.3,"D2,D4",D_SOD-923,C233435,2
ESP32-S3-MINI-1-N8,U2,XCVR_ESP32-S3-MINI-1-N8,C2913206,1
RESET,SW1,SW_SPST_B3U-1000P,C231329,1
TestPoint,TP2,TestPoint_Pad_1.0x1.0mm,,1
TestPoint,TP1,TestPoint_Pad_1.0x1.0mm,,1
