Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C18,10u,C_0603_1608Metric,103.0,-35.0,90.0,top
C4,1u,C_0603_1608Metric,118.0,-55.45,-90.0,top
D2,ESD3.3,D_SOD-923,119.5,-55.095,90.0,top
D4,ESD3.3,D_SOD-923,103.0,-37.92,-90.0,top
J1,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,113.25,-52.325,0.0,top
J2,Conn_01x02,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,105.3,-53.125,0.0,top
J3,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,106.5,-62.675,0.0,top
J4,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,112.55,-62.8,0.0,top
J5,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,118.5,-62.675,0.0,top
R2,10K,R_0402_1005Metric,116.5,-49.0,0.0,top
SW1,RESET,SW_SPST_B3U-1000P,119.5,-51.2,90.0,top
SW2,BOOT,SW_SPST_B3U-1000P,103.0,-41.2,90.0,top
U2,ESP32-S3-MINI-1-N8,XCVR_ESP32-S3-MINI-1-N8,113.0,-40.15,0.0,top
