Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C10,C11,C15,C19,C2,C32",C_0201_0603Metric,C1525,6
10K,"R21,R22,R4",R_0201_0603Metric,C25744,3
10nF,C40,C_0201_0603Metric,C15195,1
10uF,C25,C_0201_0603Metric,C15525,1
12pF,"C1,C33,C37,C38",C_0201_0603Metric,C1547,4
15pF,"C31,DNP1",C_0201_0603Metric,C1548,2
1uF,"C13,C26,C39",C_0201_0603Metric,C52923,3
2nH,L3,L_0201_0603Metric,C77103,1
32.768 kHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346,1
4.7nH,L6,L_0201_0603Metric,C13595,1
40MHz(10ppm),Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,C5261125,1
BTN,BTN1,SW_Push_1P1T_XKB_TS-1187A,C318884,1
Conn_01x02,J2,S2BZRLFSN,C157930,1
Conn_01x10,J3,SM10B-SRSS-TB,C160409,1
ESP32-S3,U1,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,C2913194,1
Flash,Flash1,SW_Push_1P1T_XKB_TS-1187A,C318884,1
Reset,Reset1,SW_Push_1P1T_XKB_TS-1187A,C318884,1
W25Q128JVS,U3,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
Antenna,AE1,Texas_SWRA117D_2.4GHz_Left,,1
