Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C_0201_0603Metric,114.219055,-39.206959,45.0,top
C10,0.1uF,C_0201_0603Metric,106.291404,-47.708596,-135.0,top
C11,0.1uF,C_0201_0603Metric,106.773726,-48.226274,-135.0,top
C13,1uF,C_0201_0603Metric,112.743952,-50.756048,45.0,top
C15,0.1uF,C_0201_0603Metric,108.243952,-41.243952,135.0,top
C16,0.1uF,C_0201_0603Metric,108.256048,-40.256048,135.0,top
C19,0.1uF,C_0201_0603Metric,109.243952,-40.243952,135.0,top
C2,0.1uF,C_0201_0603Metric,105.273726,-46.726274,-135.0,top
C25,10uF,C_0201_0603Metric,107.756048,-49.243952,-135.0,top
C26,1uF,C_0201_0603Metric,105.773726,-47.226274,-135.0,top
C31,15pF,C_0201_0603Metric,109.226274,-38.226274,135.0,top
C32,0.1uF,C_0201_0603Metric,113.243952,-51.256048,45.0,top
C33,12pF,C_0201_0603Metric,117.5,-42.5,45.0,top
C39,1uF,C_0201_0603Metric,107.273726,-48.726274,-135.0,top
C40,10nF,C_0201_0603Metric,112.5,-40.0,135.0,top
DNP1,15pF,C_0201_0603Metric,110.726274,-38.726274,135.0,top
J1,Conn_01x02,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,105.175,-38.3,90.0,top
J2,Conn_01x02,S2BZRLFSN,105.75,-52.5,0.0,top
J3,Conn_01x10,SM10B-SRSS-TB,115.5,-55.5,0.0,top
L3,2nH,L_0201_0603Metric,109.743952,-39.743952,-45.0,top
L6,4.7nH,L_0201_0603Metric,110.226274,-39.226274,135.0,top
R2,10K,R_0201_0603Metric,107.243952,-42.243952,-45.0,top
R21,10K,R_0201_0603Metric,106.743952,-42.743952,-45.0,top
R22,10K,R_0201_0603Metric,107.743952,-41.743952,135.0,top
U1,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,111.440452,-45.440452,-45.0,top
Y2,40MHz(10ppm),Crystal_SMD_2520-4Pin_2.5x2.0mm,116.123744,-40.613693,-45.0,top
