Comment,Designator,Footprint,LCSC,Quantity
1k,"R13,R15",R_0402_1005Metric,C11702,2
100nF,C1,C_0402,C1525,1
6k8,"R12,R14",R_0402_1005Metric,C25917,2
BDR6133,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C2687793,1
AMS1117-3.3,U1,SOT-89-3,C7473143,1
10u,"C17,C18,C3",C_0603_1608Metric,C96446,3
ABS2,D1,Diode_Bridge_Diotec_ABS,,1
TestPoint,o1,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,i1,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,o2,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,i2,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,g2,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,g1,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,v3,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,tr2,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,tr1,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,ctrl2,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
TestPoint,ctrl1,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,,1
