Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C17,10u,C_0603_1608Metric,114.1,-52.5,0.0,top
C18,10u,C_0603_1608Metric,116.5,-53.275,90.0,top
C3,100nF,C_0603_1608Metric,114.1,-54.0,0.0,top
D1,ABS2,Diode_Bridge_Diotec_ABS,114.6,-47.975,90.0,top
J1,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,114.55,-41.45,180.0,top
J2,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,114.0,-65.175,0.0,top
J4,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,106.45,-46.95,180.0,top
J5,Conn_01x05,JST_SHL_SM05B-SHLS-TF_1x05-1MP_P1.00mm_Horizontal,106.5,-65.175,0.0,top
U1,AMS1117-3.3,SOT-89-3,114.5,-58.65,-90.0,top
U4,BDR6133,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,107.2,-52.7,180.0,top
