Comment,Designator,Footprint,LCSC,Quantity
1.92k,R2,R_0402_1005Metric,C4109,1
10u,C18,C_0603_1608Metric,C96446,1
Conn_01x02,J5,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,C157930,1
Conn_01x08,J19,JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal,C160407,1
TLC5940PWP,U1,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias,C181653,1
Conn_01x01,J3,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J2,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J18,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J17,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J16,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J15,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J14,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J13,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J12,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J11,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J10,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J9,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J8,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J7,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J4,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J6,PinHeader_1x01_P1.00mm_Vertical,,1
