Comment,Designator,Footprint,LCSC,Quantity
100K,R5,R_0603_1608Metric,C25803,1
10uF,"C1,C2,C7",C_0603_1608Metric,C96446,3
"2.2uH,50mA",L1,L_0805,C1043,1
22uF,C5,C_0603_1608Metric,C59461,1
249K,R4,R_0603_1608Metric,C22918,1
52.3K,R6,R_0603_1608Metric,C23198,1
ABS2,D1,Diode_Bridge_Diotec_ABS,C84159,1
BDR6133,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C2687793,1
Conn_01x02,"J1,J2,J4,J5",JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,C157930,4
Conn_01x02,J3,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,C160402,1
TPS629210DRLR,U2,SOT50P160X60-8N,C5219301,1
TestPoint,TP1,MountingHole_2.1mm,,1
