Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,114.775,-52.5,0.0,top
C2,10uF,C_0603_1608Metric,115.0,-54.0,0.0,top
C5,22uF,C_0603_1608Metric,112.5,-61.775,90.0,top
C7,10uF,C_0603_1608Metric,115.0,-55.5,0.0,top
D1,ABS2,Diode_Bridge_Diotec_ABS,114.6,-47.975,90.0,top
J1,Conn_01x02,S2BZRLFSN,114.25,-41.5,180.0,top
J2,Conn_01x02,S2BZRLFSN,104.5,-66.9,0.0,top
J3,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,105.55,-58.95,90.0,top
J4,Conn_01x02,S2BZRLFSN,105.5,-46.1,180.0,top
J5,Conn_01x02,S2BZRLFSN,113.25,-67.0,0.0,top
J6,Conn_01x01,PinHeader_1x01_P1.00mm_Vertical,102.4,-38.0,90.0,top
J7,Conn_01x01,PinHeader_1x01_P1.00mm_Vertical,105.45,-38.0,90.0,top
J8,Conn_01x01,PinHeader_1x01_P1.00mm_Vertical,108.5,-38.0,90.0,top
L1,"2.2uH,50mA",L_0805,115.5,-63.5,180.0,top
R4,249K,R_0603_1608Metric,111.5,-58.0,0.0,top
R5,100K,R_0603_1608Metric,114.0,-60.825,90.0,top
R6,52.3K,R_0603_1608Metric,111.825,-56.5,0.0,top
U2,TPS629210DRLR,SOT50P160X60-8N,114.75,-57.735,90.0,top
U4,BDR6133,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,107.2,-52.7,180.0,top
