Comment,Designator,Footprint,LCSC,Quantity
100n,C2,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,1
100nF,C3,C_0603_1608Metric,C14663,1
10u,"C17,C18",C_0603_1608Metric,C96446,2
1N5817,D1,SOD2613X110N,C2828424,1
AMS1117-3.3,U2,SOT-89-3,C7473143,1
BLM21PG220,FB1,L_0805_2012Metric,C88993,1
Conn_01x02,"J2,J5",S2BZRLFSN,C157930,2
Conn_01x02,J3,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,C160402,1
Polyfuse 1A,F1,Fuse_1206_3216Metric,C1020,1
USBLC6-2SC6,U1,SOT-23-6,C2687116,1
Conn_01x04,J1,PinHeader_1x04_P1.00mm_Vertical,,1
Conn_01x01,J8,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J7,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J6,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J4,PinHeader_1x01_P1.00mm_Vertical,,1
