Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C17,10u,C_0603_1608Metric,108.0,-79.5,180.0,top
C18,10u,C_0603_1608Metric,99.0,-77.275001,-90.0,top
C3,100nF,C_0603_1608Metric,108.0,-78.000001,180.0,top
D1,1N5817,SOD2613X110N,111.0,-75.675,-90.0,top
F1,Polyfuse 1A,Fuse_1206_3216Metric,115.225,-76.4,90.0,top
FB1,BLM21PG220,L_0805_2012Metric,113.225,-76.0625,-90.0,top
J1,Conn_01x02,S2BZRLFSN,94.6,-76.0,-90.0,top
J2,Conn_01x02,S2BZRLFSN,94.6,-69.0,-90.0,top
J3,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,117.675,-68.95,180.0,top
J4,Conn_01x02,S2BZRLFSN,103.0,-71.1,180.0,top
J5,Conn_01x02,S2BZRLFSN,94.5,-83.25,-90.0,top
J9,"Connector, USB-TYPE-C-16P",TYPE-C-SMD_HX-TYPE-C-16PIN,114.725,-85.15,0.0,top
U1,USBLC6-2SC6,SOT-23-6,118.225,-75.3625,0.0,top
U2,AMS1117-3.3,SOT-89-3,102.8,-76.5,0.0,top
